HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",2GJ70G5R98D8NK7UH9JSWNYCGWRSC5,A1AI8ENPXJCYXP,Approved,"Sat Feb 09 13:42:42 PST 2013","Sat Feb 09 13:43:15 PST 2013",,No,Neutral,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",2LVQ39Z0B6UTSN5KO8JTYRKGPPXXM0,ASQWJZMNPREVJ,Approved,"Sat Feb 09 15:23:55 PST 2013","Sat Feb 09 15:24:21 PST 2013",,Yes,Neutral,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",2QXTYMNCWYB4DWL8258X41JONLYLPY,A8K6YL7N8RHYX,Approved,"Sat Feb 09 17:36:19 PST 2013","Sat Feb 09 17:37:56 PST 2013",,Yes,High,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",28M98JHSTLB3PHRRTM9OEJEJR70RFR,A1ZBGI2ONCITZG,Approved,"Sat Feb 09 18:53:59 PST 2013","Sat Feb 09 18:54:25 PST 2013",810188972,No,Neutral,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",2VJGNTBJ3MMD1MR5H0X2NHB9M62WAM,A1OC6N0BYX1HF3,Approved,"Sun Feb 10 09:05:35 PST 2013","Sun Feb 10 09:07:48 PST 2013",8102766970,No,High,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",2GNCPWZ9RNDWM57H2KJN6DTGUUDRCL,AAQTTZKPL44B7,Approved,"Sun Feb 10 22:01:18 PST 2013","Sun Feb 10 22:08:22 PST 2013",8102634190,Yes,High,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",2YNR14IXKO2LDJTUM91603YOC59AB9,ACJXA9Z0CW3IH,Approved,"Tue Feb 12 12:43:38 PST 2013","Tue Feb 12 12:44:00 PST 2013",,No,Low,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",21DPHIT3HVWAZ1UMC0AQ5172Z23KC5,A20RC8BRVTGDJE,Approved,"Tue Feb 12 17:17:18 PST 2013","Tue Feb 12 17:17:53 PST 2013",,Yes,Neutral,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",2IA9NZW6HEZ6SVG66KK899GUMW4YOM,A1SGC9I11RM0UV,Approved,"Wed Feb 13 10:57:52 PST 2013","Wed Feb 13 10:58:02 PST 2013",8102029650,Yes,VHigh,
2787Q67051QKG43HC6HC4XMGPYRYEU,"ReviewResearcherProfiles","00004",24QT3DHJHP4BHUWWEBZRVX9X3A72VC,A3G8M9TR33ZJW2,Approved,"Wed Feb 13 17:12:03 PST 2013","Wed Feb 13 17:13:33 PST 2013",,No,Neutral,
