HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,GS
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2JCSSZVXX2Q49B6001PGQIW1NLDO6C,A1AI8ENPXJCYXP,Approved,Sat Feb 09 13:39:35 PST 2013,Sat Feb 09 13:39:40 PST 2013,,,,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2KYX3YOCCF0CTMWDZ69NLIXYGXUSRB,ASQWJZMNPREVJ,Approved,Sat Feb 09 15:25:23 PST 2013,Sat Feb 09 15:25:36 PST 2013,,Yes,High,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2IKV7WGKCCVLPKOQDGDHDPQ4C2ST3X,A8K6YL7N8RHYX,Approved,Sat Feb 09 17:45:38 PST 2013,Sat Feb 09 17:45:45 PST 2013,,No,High,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2PV95SW6NG1FWKZEXW2YI1FZSSQVHM,A1ZBGI2ONCITZG,Approved,Sat Feb 09 18:44:10 PST 2013,Sat Feb 09 18:45:26 PST 2013,810188972,No,Low,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,25EEC1PC6SK9V0KLYC9ZHHMAAIS0OO,A1OC6N0BYX1HF3,Approved,Sun Feb 10 09:12:37 PST 2013,Sun Feb 10 09:12:56 PST 2013,,No,VHigh,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2XBKM05BMJTULF8IQ6G9UA7S5PGJEY,ACJXA9Z0CW3IH,Approved,Tue Feb 12 12:41:03 PST 2013,Tue Feb 12 12:41:20 PST 2013,,No,Low,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2CYDG67D1X3V4WWGM1B2ME1M7IEAHP,A3RNMSYRWACU2I,Approved,Tue Feb 12 14:46:03 PST 2013,Tue Feb 12 14:46:16 PST 2013,,No,High,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2PVQ0JG5TYMNGDAREM69VSSHXUVGKB,A20RC8BRVTGDJE,Approved,Tue Feb 12 17:07:41 PST 2013,Tue Feb 12 17:08:30 PST 2013,,No,Neutral,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2Y7XRDS4IC1E2UZDTSD14A2IVS7WZN,A1SGC9I11RM0UV,Approved,Wed Feb 13 11:08:14 PST 2013,Wed Feb 13 11:08:50 PST 2013,8102029650,Yes,Low,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,2O41PC6SK9RJCM0FSC5HPAAPMIS2QI,A3G8M9TR33ZJW2,Approved,Wed Feb 13 17:01:15 PST 2013,Wed Feb 13 17:02:09 PST 2013,,Yes,High,Yes
2DH9RNDWIOV1WO43DQKGX13YKX4VGZ,ReviewResearcherProfiles,12,26UDIPDOBDDPC6VCU74DBXMB3K70BK,A1KWFAKVXAOAVW,Approved,Wed Feb 13 18:10:06 PST 2013,Wed Feb 13 18:10:26 PST 2013,8102434550,Yes,Neutral,Yes
