HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,GS
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,29UMIKMN9U8PDFFO39NXL3SUYBRSBY,A1AI8ENPXJCYXP,Approved,Sat Feb 09 13:41:20 PST 2013,Sat Feb 09 13:42:03 PST 2013,,No,Neutral,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2TOKUDD8XMB3UKLFAOXUWO6T470OD4,ASQWJZMNPREVJ,Approved,Sat Feb 09 15:19:34 PST 2013,Sat Feb 09 15:20:13 PST 2013,No they are not the same person,No,Neutral,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,23D0XULRGNTBNKY2NAWFS7N62DMR58,A8K6YL7N8RHYX,Approved,Sat Feb 09 17:50:25 PST 2013,Sat Feb 09 17:51:00 PST 2013,,No,Low,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2TVNAB6BFMFFSFAY3EKJIDGES55VIF,A1ZBGI2ONCITZG,Approved,Sat Feb 09 18:46:13 PST 2013,Sat Feb 09 18:47:10 PST 2013,810188972,No,Neutral,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2BPERSQV66RLTYU9DUMWDVKI6VT3BI,A1OC6N0BYX1HF3,Approved,Sun Feb 10 09:09:57 PST 2013,Sun Feb 10 09:11:16 PST 2013,No,Yes,High,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,23NOK5UFJ51YB7Q49SPQV1CSTFIA7N,ACJXA9Z0CW3IH,Approved,Tue Feb 12 12:39:43 PST 2013,Tue Feb 12 12:40:09 PST 2013,Not,No,VLow,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2IAUB2YU98JHWAXRDYRFEJ9IO4DMAA,A3RNMSYRWACU2I,Approved,Tue Feb 12 14:33:34 PST 2013,Tue Feb 12 14:36:36 PST 2013,Not the same,Yes,Neutral,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2OQ5COW0LGRZ7PO7PY36YNUZW7UY7W,A1KWFAKVXAOAVW,Approved,Wed Feb 13 18:21:34 PST 2013,Wed Feb 13 18:22:01 PST 2013,,Yes,High,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2L5DP8PJWKUDHP92LGH3CZ0B6O8I7M,A31DCF7XNH4IHZ,Approved,Thu Feb 14 07:11:46 PST 2013,Thu Feb 14 07:12:35 PST 2013,,No,Neutral,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,23QMNCWYB49FD948RAS1MONSTZWRNA,A2ZO2P05URCGC4,Approved,Thu Feb 14 07:26:26 PST 2013,Thu Feb 14 07:26:50 PST 2013,,No,Neutral,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2RQW2GTP9RA7WM82BJ0YVOF70D1UPD,A8WNS8Y12LPGO,Approved,Thu Feb 14 09:24:34 PST 2013,Thu Feb 14 09:24:42 PST 2013,,No,Neutral,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2D7DEY5COW0LK8BJIPIFOC6VNOEV4C,A3DX5SKB7EDW6Z,Approved,Thu Feb 14 10:59:42 PST 2013,Thu Feb 14 11:00:51 PST 2013,8103127900,No,High,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2V0I9NZW6HEZA5QK09YTB69GUGHXNC,A1PO1SNNAZHZGW,Approved,Thu Feb 14 11:29:08 PST 2013,Thu Feb 14 11:29:23 PST 2013,,No,VHigh,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2CQU98JHSTLB72CVLW0IRBJEJLTQEJ,A2Q4PMPZD7GTMX,Approved,Thu Feb 14 11:29:44 PST 2013,Thu Feb 14 11:30:09 PST 2013,,Yes,High,No
2E4B3Q39Z0B6YA0M3H5VVTVRRE2KV8,ReviewResearcherProfiles,2,2I6BDPGFL6VCTDBP104WLOV1S1MJ4U,A2LKG96QY7M0QM,Approved,Fri Feb 15 18:05:10 PST 2013,Fri Feb 15 18:05:59 PST 2013,810280000,No,,No
