HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3,GS
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2SPKO2L92HEC0RIDDBFCFF0CPYPGFK,A1AI8ENPXJCYXP,Approved,Sat Feb 09 13:36:28 PST 2013,Sat Feb 09 13:37:30 PST 2013,,No,Neutral,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,26Y18N46UXFCHLHDMRKNGSNTKBSQS8,ASQWJZMNPREVJ,Approved,Sat Feb 09 15:23:41 PST 2013,Sat Feb 09 15:23:54 PST 2013,,Yes,High,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2UIW618N46UXJTPKFA3EWNDSNMPOQ9,A8K6YL7N8RHYX,Approved,Sat Feb 09 17:50:11 PST 2013,Sat Feb 09 17:50:24 PST 2013,,No,High,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2K36BFMFFOYYMAD9TS4GHSC0RQ1LYS,A1ZBGI2ONCITZG,Approved,Sat Feb 09 18:51:41 PST 2013,Sat Feb 09 18:52:09 PST 2013,810188972,Yes,Neutral,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2XKSCXKNQY2RG0WMDCME6HR0KNO0P5,A1OC6N0BYX1HF3,Approved,Sun Feb 10 09:14:36 PST 2013,Sun Feb 10 09:14:44 PST 2013,,No,High,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2TS11K274J79O78MBLE49UXFC6YFDY,ACJXA9Z0CW3IH,Approved,Tue Feb 12 12:43:11 PST 2013,Tue Feb 12 12:43:37 PST 2013,,No,High,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,20W5UUKQOYGNMDD32LFG3107SOAFX0,A3RNMSYRWACU2I,Approved,Tue Feb 12 14:51:27 PST 2013,Tue Feb 12 14:51:36 PST 2013,,No,High,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2EB3NAB6BFMFJ5AES6STMFDGEL6UHL,A20RC8BRVTGDJE,Approved,Tue Feb 12 17:18:04 PST 2013,Tue Feb 12 17:18:16 PST 2013,,No,Neutral,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2GKK9RJ85OZI3VT2KNGMROQ5EQSV7K,A1SGC9I11RM0UV,Approved,Wed Feb 13 11:06:13 PST 2013,Wed Feb 13 11:06:41 PST 2013,,Yes,VHigh,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,291O9Z6KW4ZMEGTX14CFT0ONNPV5EA,A1KWFAKVXAOAVW,Approved,Wed Feb 13 18:13:27 PST 2013,Wed Feb 13 18:13:43 PST 2013,,Yes,VHigh,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,2T85TYMNCWYB8QRP25JH011JOH7OKT,A2ZO2P05URCGC4,Approved,Thu Feb 14 06:50:49 PST 2013,Thu Feb 14 06:52:11 PST 2013,,Yes,VHigh,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,20ZQ67051QKCR8DI33310MGI0PTFZK,A31DCF7XNH4IHZ,Approved,Thu Feb 14 07:16:08 PST 2013,Thu Feb 14 07:16:39 PST 2013,,Yes,Neutral,Yes
2T7WZ9RNDWIOZI4N20UDWGU1AW9TE0,ReviewResearcherProfiles,12,22KCXKNQY2RCN1IJ9853KR0KUCPQ10,A3DX5SKB7EDW6Z,Approved,Thu Feb 14 10:47:09 PST 2013,Thu Feb 14 10:47:43 PST 2013,8103127900,No,High,Yes
